[01:29:54 - train - INFO] Seed: 0 (rank-adjusted: 0)
[01:30:02 - train - INFO] Optimizer: FusedAdam
[01:30:02 - train - INFO] Loaded fine-tuning weights from /work/m24046/m24046mrcr/Test_Aube_regular/checkpoints/config_transfer_Aube_regular/Seed0 at epoch 1400
[01:30:02 - train - INFO] len(dataloader) = 84
[01:30:02 - train - INFO] Training (pushforward fine-tuning) started...
[01:59:58 - train - INFO] epoch: 1496, p_tf=0.000, lr: 9.995e-05, loss:  4.366e-01, time/epoch: 19.39s
[02:00:16 - train - INFO] epoch: 1497, p_tf=0.000, lr: 9.995e-05, loss:  4.307e-01, time/epoch: 18.26s
[02:00:35 - train - INFO] epoch: 1498, p_tf=0.000, lr: 9.995e-05, loss:  4.325e-01, time/epoch: 18.78s
[02:00:53 - train - INFO] epoch: 1499, p_tf=0.000, lr: 9.995e-05, loss:  4.281e-01, time/epoch: 18.40s
[02:01:11 - train - INFO] epoch: 1500, p_tf=0.000, lr: 9.995e-05, loss:  4.275e-01, time/epoch: 18.52s
[02:01:12 - train - INFO] Saved model on rank 0
[02:01:30 - train - INFO] epoch: 1501, p_tf=0.000, lr: 9.995e-05, loss:  4.420e-01, time/epoch: 18.10s
[02:01:47 - train - INFO] epoch: 1502, p_tf=0.000, lr: 9.995e-05, loss:  4.300e-01, time/epoch: 17.84s
[02:02:06 - train - INFO] epoch: 1503, p_tf=0.000, lr: 9.995e-05, loss:  4.372e-01, time/epoch: 18.65s
[02:02:25 - train - INFO] epoch: 1504, p_tf=0.000, lr: 9.995e-05, loss:  4.282e-01, time/epoch: 18.80s
[02:02:45 - train - INFO] epoch: 1505, p_tf=0.000, lr: 9.995e-05, loss:  4.393e-01, time/epoch: 19.67s
[02:03:03 - train - INFO] epoch: 1506, p_tf=0.000, lr: 9.995e-05, loss:  4.289e-01, time/epoch: 18.01s
[02:03:21 - train - INFO] epoch: 1507, p_tf=0.000, lr: 9.995e-05, loss:  4.377e-01, time/epoch: 18.81s
[02:03:41 - train - INFO] epoch: 1508, p_tf=0.000, lr: 9.995e-05, loss:  4.285e-01, time/epoch: 20.01s
[02:04:00 - train - INFO] epoch: 1509, p_tf=0.000, lr: 9.995e-05, loss:  4.396e-01, time/epoch: 19.08s
[02:04:19 - train - INFO] epoch: 1510, p_tf=0.000, lr: 9.994e-05, loss:  4.474e-01, time/epoch: 18.94s
[02:04:19 - train - INFO] Saved model on rank 0
[02:04:37 - train - INFO] epoch: 1511, p_tf=0.000, lr: 9.994e-05, loss:  4.453e-01, time/epoch: 17.85s
[02:04:56 - train - INFO] epoch: 1512, p_tf=0.000, lr: 9.994e-05, loss:  4.526e-01, time/epoch: 18.31s
[02:05:13 - train - INFO] epoch: 1513, p_tf=0.000, lr: 9.994e-05, loss:  4.338e-01, time/epoch: 17.86s
[02:05:32 - train - INFO] epoch: 1514, p_tf=0.000, lr: 9.994e-05, loss:  4.388e-01, time/epoch: 18.22s
[02:05:50 - train - INFO] epoch: 1515, p_tf=0.000, lr: 9.994e-05, loss:  4.316e-01, time/epoch: 18.69s
[02:06:08 - train - INFO] epoch: 1516, p_tf=0.000, lr: 9.994e-05, loss:  4.462e-01, time/epoch: 18.14s
[02:06:28 - train - INFO] epoch: 1517, p_tf=0.000, lr: 9.994e-05, loss:  4.404e-01, time/epoch: 19.28s
[02:06:46 - train - INFO] epoch: 1518, p_tf=0.000, lr: 9.994e-05, loss:  4.390e-01, time/epoch: 17.82s
[02:07:04 - train - INFO] epoch: 1519, p_tf=0.000, lr: 9.994e-05, loss:  4.388e-01, time/epoch: 18.45s
[02:07:22 - train - INFO] epoch: 1520, p_tf=0.000, lr: 9.994e-05, loss:  4.305e-01, time/epoch: 18.26s
[02:07:22 - train - INFO] Saved model on rank 0
[02:07:40 - train - INFO] epoch: 1521, p_tf=0.000, lr: 9.994e-05, loss:  4.409e-01, time/epoch: 17.73s
[02:07:58 - train - INFO] epoch: 1522, p_tf=0.000, lr: 9.994e-05, loss:  4.239e-01, time/epoch: 18.01s
[02:08:18 - train - INFO] epoch: 1523, p_tf=0.000, lr: 9.994e-05, loss:  4.443e-01, time/epoch: 20.06s
[02:08:36 - train - INFO] epoch: 1524, p_tf=0.000, lr: 9.994e-05, loss:  4.260e-01, time/epoch: 17.88s
[02:08:55 - train - INFO] epoch: 1525, p_tf=0.000, lr: 9.994e-05, loss:  4.318e-01, time/epoch: 18.56s
[02:09:14 - train - INFO] epoch: 1526, p_tf=0.000, lr: 9.994e-05, loss:  4.288e-01, time/epoch: 19.23s
