exp,epoch,horizon_steps,event,group,peak,mse_h,mse_u,mse_v,mse_mean,csi_all,csi_int,bias_mean,wet_frac_pred,wet_frac_gt,wet_frac_delta,false_pos_rate,false_neg_rate
E4_pushforward,850,24,Group_3_peak_3400_Group_3_peak_3400_0_0-80_interpolated.pkl,3,3400,0.3032492645982308,0.0542897894737856,0.019201917134500025,0.12558032373550548,0.6495716181971763,0.6474444579337137,-0.21917328679136264,0.34852513759198567,0.4906313771566384,-0.14210623956465274,0.018737245686723147,0.16084348525137593
E4_pushforward,900,6,Group_1_peak_2600_Group_1_peak_2600_0_0-80_interpolated.pkl,1,2600,0.017181800952338067,0.005656055069016758,0.004901764645939205,0.009246540222431343,0.8542928393302458,0.8529834651329978,-0.016875788539041727,0.3264485807927772,0.311112485313215,0.015336095479562217,0.03296023746212355,0.017624141982561375
E4_pushforward,900,12,Group_1_peak_2600_Group_1_peak_2600_0_0-80_interpolated.pkl,1,2600,0.21545935400228086,0.049834414954662266,0.02926045030836788,0.09818473975510367,0.7359550561797753,0.7342585453610897,-0.19878355133224598,0.37678560385875953,0.45779481788386617,-0.08100921402510664,0.023437016882072847,0.10444623090717951
E4_pushforward,900,24,Group_1_peak_2600_Group_1_peak_2600_0_0-80_interpolated.pkl,1,2600,0.4984219503702534,0.09359624949913697,0.03932526872625717,0.21044782286521582,0.5971973094170404,0.5949267192784667,-0.34375253636911757,0.3506895059056335,0.5241481664708428,-0.1734586605652093,0.024364603302207657,0.19782326386741697
E4_pushforward,900,6,Group_2_peak_1000_Group_2_peak_1000_0_0-80_interpolated.pkl,2,1000,0.03571331714117017,0.01014685957077002,0.0023243997823352834,0.016061525498091825,0.8103763244428206,0.8068477856345366,0.03184801695792236,0.16492486549996907,0.13530393915033084,0.029620926349638227,0.03085770824315132,0.001236781893513079
E4_pushforward,900,12,Group_2_peak_1000_Group_2_peak_1000_0_0-80_interpolated.pkl,2,1000,0.12192244653768802,0.02233863955669288,0.004796510324159513,0.049685865472846806,0.6201911296250919,0.6154800297692881,-0.03240757319961273,0.23307154783253972,0.16962463669531877,0.06344691113722095,0.07964875394224229,0.016201842805021335
E4_pushforward,900,24,Group_2_peak_1000_Group_2_peak_1000_0_0-80_interpolated.pkl,2,1000,0.11843573704643,0.018216149696159152,0.004335096564073625,0.04699566110222093,0.5133157145761333,0.5083179297597042,0.01714492296805431,0.27895615608187496,0.17519015521612763,0.10376600086574733,0.12590439675963144,0.022138395893884114
E4_pushforward,900,6,Group_2_peak_1200_Group_2_peak_1200_0_0-80_interpolated.pkl,2,1200,0.025856525062294838,0.006847667070928947,0.0017426107127015973,0.011482267615308461,0.8349798755945848,0.8319045844204249,-0.003978603514719154,0.1644919918372395,0.13944715849359965,0.025044833343639855,0.02646713252117989,0.0014222991775400407
E4_pushforward,900,12,Group_2_peak_1200_Group_2_peak_1200_0_0-80_interpolated.pkl,2,1200,0.1581923040710532,0.02925047970276669,0.008251251796364505,0.06523134519006148,0.6820848375451264,0.6784573254221816,-0.07762059468918125,0.22967039762537877,0.22515614371405604,0.004514253911322735,0.045822769154659576,0.04130851524333684
E4_pushforward,900,24,Group_2_peak_1200_Group_2_peak_1200_0_0-80_interpolated.pkl,2,1200,0.14804285966781222,0.024462942923648246,0.005895071649298599,0.05946695808025302,0.6164725457570716,0.612442202606137,-0.052036111072193275,0.24469729763156267,0.2297322367200544,0.01496506091150826,0.06449817574670706,0.049533114835198816
